PRO ID 	Category 	

PR:P25786	organism-gene
PR:P25205-2	organism-sequence
PR:P25205-1	organism-sequence
PR:P25205	organism-gene
PR:P24928-2	organism-sequence
PR:P24928-1	organism-sequence
PR:P24928	organism-gene
PR:P24752-2	organism-sequence
PR:P24752-1	organism-sequence
PR:P24752	organism-gene
PR:P24534-1	organism-sequence
PR:P24534	organism-gene
PR:P23526-2	organism-sequence
PR:P23526-1	organism-sequence
PR:P23526	organism-gene
PR:P23396-2	organism-sequence
PR:P23396-1	organism-sequence
PR:P23396	organism-gene
PR:P23381-2	organism-sequence
PR:P23381-1	organism-sequence
PR:P23381	organism-gene
PR:P22830-2	organism-sequence
PR:P22830-1	organism-sequence
PR:P22830	organism-gene
PR:P22570-7	organism-sequence
PR:P22570-6	organism-sequence

PR:P30793-4	organism-sequence
PR:P30793-3	organism-sequence
PR:P30793-2	organism-sequence
PR:P30793-1	organism-sequence
PR:P30793	organism-gene
PR:P30566-2	organism-sequence
PR:P30566-1	organism-sequence
PR:P30566	organism-gene
PR:P30260-2	organism-sequence
PR:P30260-1	organism-sequence
PR:P30260	organism-gene
PR:P30085-2	organism-sequence
PR:P30085-1	organism-sequence
PR:P30085	organism-gene
PR:P29084	organism-gene
PR:P28340	organism-gene
PR:P28070-1	organism-sequence
PR:P28070	organism-gene
PR:P28066-2	organism-sequence
PR:P28066-1	organism-sequence
PR:P28066	organism-gene
PR:P25788-2	organism-sequence
PR:P25788-1	organism-sequence
PR:P25788	organism-gene
PR:P25787-1	organism-sequence
PR:P25787	organism-gene
PR:P25786-2	organism-sequence

PR:P37268	organism-gene
PR:P36551-2	organism-sequence
PR:P36551-1	organism-sequence
PR:P36551	organism-gene
PR:P35998-2	organism-sequence
PR:P35998-1	organism-sequence
PR:P35998	organism-gene
PR:P35638-2	organism-sequence
PR:P35638-1	organism-sequence
PR:P35638	organism-gene
PR:P35251-2	organism-sequence
PR:P35251-1	organism-sequence
PR:P35251	organism-gene
PR:P35249-2	organism-sequence
PR:P35249-1	organism-sequence
PR:P35249	organism-gene
PR:P34949-2	organism-sequence
PR:P34949-1	organism-sequence
PR:P34949	organism-gene
PR:P33993-3	organism-sequence
PR:P33993-2	organism-sequence
PR:P33993-1	organism-sequence
PR:P33993	organism-gene
PR:P33992	organism-gene
PR:P33316-3	organism-sequence
PR:P33316-2	organism-sequence
PR:P33316	organism-gene

PR:P46087-1	organism-sequence
PR:P46087	organism-gene
PR:P46060	organism-gene
PR:P43686-2	organism-sequence
PR:P43686-1	organism-sequence
PR:P43686	organism-gene
PR:P42285	organism-gene
PR:P41252-1	organism-sequence
PR:P41252	organism-gene
PR:P40937-2	organism-sequence
PR:P40937-1	organism-sequence
PR:P40937	organism-gene
PR:P39656-3	organism-sequence
PR:P39656-2	organism-sequence
PR:P39656-1	organism-sequence
PR:P39656	organism-gene
PR:P38919-1	organism-sequence
PR:P38919	organism-gene
PR:P37287-3	organism-sequence
PR:P37287-2	organism-sequence
PR:P37287-1	organism-sequence
PR:P37287	organism-gene
PR:P37268-5	organism-sequence
PR:P37268-4	organism-sequence
PR:P37268-3	organism-sequence
PR:P37268-2	organism-sequence
PR:P37268-1	organism-sequence

PR:P49354-1	organism-sequence
PR:P49354	organism-gene
PR:P49247	organism-gene
PR:P49005-1	organism-sequence
PR:P49005	organism-gene
PR:P48643-2	organism-sequence
PR:P48643-1	organism-sequence
PR:P48643	organism-gene
PR:P48556	organism-gene
PR:P48553-2	organism-sequence
PR:P48553-1	organism-sequence
PR:P48553	organism-gene
PR:P48449-3	organism-sequence
PR:P48449-2	organism-sequence
PR:P48449-1	organism-sequence
PR:P48449	organism-gene
PR:P47897-2	organism-sequence
PR:P47897-1	organism-sequence
PR:P47897	organism-gene
PR:P46782	organism-gene
PR:P46777-1	organism-sequence
PR:P46777	organism-gene
PR:P46776-1	organism-sequence
PR:P46776	organism-gene
PR:P46087-4	organism-sequence
PR:P46087-3	organism-sequence
PR:P46087-2	organism-sequence

PR:P49770	organism-gene
PR:P49736-1	organism-sequence
PR:P49736	organism-gene
PR:P49721-1	organism-sequence
PR:P49721	organism-gene
PR:P49720-1	organism-sequence
PR:P49720	organism-gene
PR:P49643-2	organism-sequence
PR:P49643-1	organism-sequence
PR:P49643	organism-gene
PR:P49642	organism-gene
PR:P49591	organism-gene
PR:P49589-3	organism-sequence
PR:P49589-2	organism-sequence
PR:P49589-1	organism-sequence
PR:P49589	organism-gene
PR:P49588-2	organism-sequence
PR:P49588-1	organism-sequence
PR:P49588	organism-gene
PR:P49368-2	organism-sequence
PR:P49368-1	organism-sequence
PR:P49368	organism-gene
PR:P49366-3	organism-sequence
PR:P49366-2	organism-sequence
PR:P49366-1	organism-sequence
PR:P49366	organism-gene
PR:P49354-2	organism-sequence

PR:P52434-4	organism-sequence
PR:P52434-3	organism-sequence
PR:P52434-2	organism-sequence
PR:P52434-1	organism-sequence
PR:P52434	organism-gene
PR:P51948-2	organism-sequence
PR:P51948-1	organism-sequence
PR:P51948	organism-gene
PR:P51946-1	organism-sequence
PR:P51946	organism-gene
PR:P51665	organism-gene
PR:P51530-4	organism-sequence
PR:P51530-3	organism-sequence
PR:P51530-2	organism-sequence
PR:P51530-1	organism-sequence
PR:P51530	organism-gene
PR:P50991-2	organism-sequence
PR:P50991-1	organism-sequence
PR:P50991	organism-gene
PR:P50990-3	organism-sequence
PR:P50990-2	organism-sequence
PR:P50990-1	organism-sequence
PR:P50990	organism-gene
PR:P50747	organism-gene
PR:P50613-1	organism-sequence
PR:P50613	organism-gene
PR:P49770-1	organism-sequence

PR:P55735-3	organism-sequence
PR:P55735-2	organism-sequence
PR:P55735-1	organism-sequence
PR:P55735	organism-gene
PR:P55072-1	organism-sequence
PR:P55072	organism-gene
PR:P55060-4	organism-sequence
PR:P55060-3	organism-sequence
PR:P55060-2	organism-sequence
PR:P55060-1	organism-sequence
PR:P55060	organism-gene
PR:P55010	organism-gene
PR:P54577-1	organism-sequence
PR:P54577	organism-gene
PR:P53803	organism-gene
PR:P53618-1	organism-sequence
PR:P53618	organism-gene
PR:P53611-1	organism-sequence
PR:P53611	organism-gene
PR:P53602	organism-gene
PR:P53384-2	organism-sequence
PR:P53384-1	organism-sequence
PR:P53384	organism-gene
PR:P52815	organism-gene
PR:P52655-2	organism-sequence
PR:P52655-1	organism-sequence
PR:P52655	organism-gene
PR:P52434-5	organism-sequence

PR:P60900-1	organism-sequence
PR:P60900	organism-gene
PR:P60866-2	organism-sequence
PR:P60866-1	organism-sequence
PR:P60866	organism-gene
